CNTSCHID,CNTSTUID,CYC,BOOKID,ST001D01T,ST003D02T,ST003D03T,ST004D01T,ST250Q02JA,ST256Q01JA,ST256Q02JA,ST256Q03JA,ST256Q06JA,ST256Q07JA,ST256Q08JA,ST256Q09JA,ST256Q10JA,ST062Q01TA,ST062Q02TA,ST062Q03TA,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST326Q01JA,ST326Q02JA,ST326Q03JA,ST326Q04JA,ST326Q05JA,ST326Q06JA,ST307Q07JA,ST307Q08JA,ST307Q09JA,ST307Q10JA,ST311Q05JA,ST305Q01JA,ST305Q02JA,ST305Q03JA,ST305Q04JA,ST305Q05JA,ST305Q06JA,ST305Q07JA,ST305Q08JA,ST305Q09JA,ST305Q10JA,ST276Q01JA,ST276Q02JA,ST276Q03JA,ST276Q04JA,ST276Q05JA,ST276Q06JA,ST276Q07JA,ST276Q08JA,ST276Q09JA,ST276Q10JA,ST290Q04WA,ST297Q01JA,ST297Q03JA,ST297Q05JA,ST297Q06JA,ST297Q07JA,ST297Q09JA,PVMATH,PVREAD,PVSCIE,Knowledge_Raw,Cognition_Raw,Emotion_Raw,Behavior_Raw,V_Knowledge,V_Cognition,V_Emotion,V_Behavior,Cluster,Student_Type,知识维度_综合得分,认知维度_综合得分,情感维度_综合得分,行为维度_综合得分,学生类型,student_id
34400162,34400002,08MS,14,10,9,2006,2,2,1,2,2,2,1,1,2,2,1,1,1,97,3,3,3,3,3,2.0,1.0,1.0,3.0,4.0,3.8149606299212597,2.0,4.0,4.0,3.0,3,97,2,97,4,97,2,97,4,97,2,97,97,1,3,97,1,97,3,2,97,97,0.0,0.0,0.0,0.0,0.0,0.0,520.3686,514.2067,551.2322,528.6025,3.25,0.0,2.4691601049868765,0.041280990463334735,0.25364141750787284,-1.4416161889208716,-0.477492330833317,3,潜力型,0.5430474024588765,0.75,1.0,0.4897200349956255,潜力型,34400002
34400136,34400003,08MS,18,10,7,2006,1,1,2,3,3,2,2,2,2,3,1,1,1,3,2,2,3,2,97,2.613363673976003,2.6384673748103187,6.0,1.0,3.2590051457975986,3.8149606299212597,2.0,3.538216560509554,4.0,3.0,97,4,97,3,2,97,4,97,97,3,97,97,97,97,4,4,2,3,97,97,4,2,1.0,0.0,0.0,0.0,0.0,0.0,552.6763,603.2283,531.3254,562.41,3.1345541401273884,0.16666666666666666,3.22096613741753,0.42351482669108337,-0.08212631155933046,-0.34053312138293,0.4497649998161993,1,优秀全面型,0.6013196482539067,0.7115180467091294,0.8333333333333334,0.7403220458058434,优秀全面型,34400003
34400055,34400004,08MS,14,10,3,2006,2,1,2,4,4,4,3,2,2,3,1,1,2,3,1,97,4,1,4,3.0,3.0,3.0,3.0,4.0,6.0,2.5845932325413967,3.0,3.6481012658227847,2.8802543270929,97,97,4,97,1,97,97,1,1,97,3,1,97,97,99,1,1,2,97,97,97,97,1.0,1.0,1.0,1.0,0.0,0.0,565.2832,479.7891,604.6078,549.8933666666667,3.0282372063642704,0.6666666666666666,3.6666666666666665,0.28199945951941746,-0.39134307732660045,2.962716081230895,0.9994800395911053,2,高压成绩型,0.5797453723054851,0.6760790687880901,0.33333333333333337,0.8888888888888888,高压成绩型,34400004
34400097,34400006,08MS,17,10,7,2006,2,1,2,3,1,5,2,2,3,4,1,1,1,3,2,4,3,97,3,5.0,5.0,2.716795366795367,2.0,3.0,3.8149606299212597,2.5845932325413967,3.538216560509554,4.0,3.0,97,4,3,4,97,4,97,2,97,97,97,2,3,2,97,2,3,97,97,97,97,97,0.0,0.0,0.0,0.0,0.0,1.0,593.0308,516.4526,589.5915,566.3583,3.280702448262738,0.16666666666666666,3.588625999452771,0.4681550353896865,0.34293774516620634,-0.34053312138293,0.9032267805837181,1,优秀全面型,0.608125129525001,0.7602341494209126,0.8333333333333334,0.8628753331509237,优秀全面型,34400006
34400156,34400007,08MS,40,10,11,2006,1,1,1,5,5,1,5,1,2,3,1,1,1,3,3,3,3,3,97,2.0,1.0,2.0,2.0,1.0,3.8149606299212597,2.5845932325413967,4.0,3.0,3.0,3,3,97,97,97,4,3,97,97,3,3,97,97,4,3,97,97,3,3,1,97,2,0.0,0.0,0.0,0.0,0.0,1.0,552.977,500.7899,555.8053,536.5240666666667,3.1461483081353494,0.16666666666666666,1.9691601049868765,0.13084368560299,-0.0484053321603954,-0.34053312138293,-1.0941788767310758,0,警示型,0.5567013987579735,0.7153827693784498,0.8333333333333334,0.32305336832895887,警示型,34400007
34400044,34400011,08MS,51,10,11,2006,1,1,1,3,1,2,4,1,2,2,1,1,1,97,3,2,2,2,3,4.0,4.0,4.0,4.0,4.0,6.0,2.5845932325413967,3.538216560509554,3.0,4.0,97,2,2,2,97,4,97,97,4,97,97,1,97,97,3,97,97,3,3,97,1,2,1.0,1.0,0.0,0.0,0.0,0.0,588.9976,584.3628,561.638,578.3328,3.280702448262738,0.3333333333333333,4.333333333333333,0.6035409430110483,0.34293774516620634,0.7605499461550116,1.8217287674547835,1,优秀全面型,0.6287649581805536,0.7602341494209126,0.6666666666666667,1.111111111111111,优秀全面型,34400011
34400003,34400012,08MS,11,8,12,2006,2,1,2,2,2,2,2,2,2,2,1,1,1,4,1,1,97,1,4,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.538216560509554,3.6481012658227847,2.8802543270929,97,5,5,97,1,5,97,97,97,5,97,2,97,97,2,2,2,97,97,97,2,97,0.0,0.0,0.0,0.0,0.0,1.0,389.0816,409.1074,438.9011,412.36336666666665,2.7666430383563094,0.16666666666666666,3.0,-1.2729401099962898,-1.1521748631193405,-0.34053312138293,0.1772313117274271,0,警示型,0.34269199763446484,0.5888810127854365,0.8333333333333334,0.6666666666666666,警示型,34400012
34400159,34400013,08MS,40,10,4,2006,1,1,1,2,2,2,5,5,2,2,1,1,1,3,2,2,97,2,3,3.0,3.0,4.0,5.0,4.0,6.0,2.5845932325413967,3.0,3.6481012658227847,2.8802543270929,2,97,3,97,97,97,3,2,3,4,97,2,97,2,2,97,97,2,97,2,97,3,0.0,0.0,0.0,0.0,0.0,1.0,518.7408,491.8545,458.1929,489.5960666666667,3.0282372063642704,0.16666666666666666,4.166666666666667,-0.3997329458100339,-0.39134307732660045,-0.34053312138293,1.6161665854888647,1,优秀全面型,0.4758140231558384,0.6760790687880901,0.8333333333333334,1.0555555555555556,优秀全面型,34400013
34400171,34400014,08MS,6,9,5,2006,1,1,2,3,3,3,1,1,2,2,1,1,3,3,2,2,3,2,97,2.0,3.0,2.0,2.0,5.0,3.8149606299212597,4.0,3.538216560509554,3.6481012658227847,4.0,97,4,3,4,97,4,97,97,97,3,97,1,2,3,97,97,97,97,4,97,3,97,1.0,1.0,0.0,0.0,1.0,0.0,530.7877,537.2619,577.8573,548.6356333333333,3.7965794565830846,0.5,2.9691601049868765,0.26777929426166325,1.8433367352455303,1.8616330136929533,0.13919421506444185,3,潜力型,0.5775774821644039,0.9321931521943615,0.5,0.6563867016622922,潜力型,34400014
34400063,34400015,08MS,21,9,11,2006,1,1,3,3,3,3,5,5,2,4,1,1,1,3,2,2,3,97,3,2.0,2.0,3.0,2.0,3.2590051457975986,3.8149606299212597,2.5845932325413967,4.0,3.6481012658227847,4.0,2,4,4,3,3,97,97,97,3,97,97,1,97,1,97,2,97,2,97,97,1,2,0.0,0.0,0.0,0.0,0.0,1.0,679.3503,596.8689,665.1047,647.1079666666666,3.5581736245910456,0.16666666666666666,2.6789942959531428,1.3811256739791098,1.1499469082506604,-0.34053312138293,-0.21868848595684215,3,潜力型,0.7473091692755522,0.8527245415303485,0.8333333333333334,0.5596647653177143,潜力型,34400015
